External code,Slice,Phase,VendorInit,VendorTarget,InitProbs,NewProbs
A0S9V9,12,0,A,B,"['1.000', '0.000', '0.000']","['0.179', '0.820', '0.001']"
A0S9V9,12,0,A,C,"['1.000', '0.000', '0.000']","['0.053', '0.001', '0.947']"
A0S9V9,12,0,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.311', '0.306']"
A0S9V9,0,9,A,B,"['1.000', '0.000', '0.000']","['0.098', '0.902', '0.000']"
A0S9V9,0,9,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A0S9V9,0,9,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.316', '0.301']"
A0S9V9,1,9,A,B,"['1.000', '0.000', '0.000']","['0.048', '0.951', '0.000']"
A0S9V9,1,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,1,9,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.321', '0.296']"
A0S9V9,2,9,A,B,"['1.000', '0.000', '0.000']","['0.682', '0.284', '0.034']"
A0S9V9,2,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,2,9,A,equal,"['1.000', '0.000', '0.000']","['0.380', '0.303', '0.317']"
A0S9V9,3,9,A,B,"['1.000', '0.000', '0.000']","['0.990', '0.010', '0.000']"
A0S9V9,3,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,3,9,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.305', '0.313']"
A0S9V9,4,9,A,B,"['1.000', '0.000', '0.000']","['0.996', '0.004', '0.000']"
A0S9V9,4,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,4,9,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.308', '0.310']"
A0S9V9,5,9,A,B,"['1.000', '0.000', '0.000']","['0.587', '0.409', '0.004']"
A0S9V9,5,9,A,C,"['1.000', '0.000', '0.000']","['0.230', '0.000', '0.770']"
A0S9V9,5,9,A,equal,"['1.000', '0.000', '0.000']","['0.958', '0.030', '0.013']"
A0S9V9,6,9,A,B,"['1.000', '0.000', '0.000']","['0.999', '0.000', '0.001']"
A0S9V9,6,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,6,9,A,equal,"['1.000', '0.000', '0.000']","['0.875', '0.000', '0.125']"
A0S9V9,7,9,A,B,"['1.000', '0.000', '0.000']","['0.995', '0.005', '0.000']"
A0S9V9,7,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A0S9V9,7,9,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,8,9,A,B,"['1.000', '0.000', '0.000']","['0.516', '0.484', '0.001']"
A0S9V9,8,9,A,C,"['1.000', '0.000', '0.000']","['0.982', '0.000', '0.018']"
A0S9V9,8,9,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,9,9,A,B,"['1.000', '0.000', '0.000']","['0.996', '0.003', '0.000']"
A0S9V9,9,9,A,C,"['1.000', '0.000', '0.000']","['0.114', '0.000', '0.886']"
A0S9V9,9,9,A,equal,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A0S9V9,10,9,A,B,"['1.000', '0.000', '0.000']","['0.419', '0.581', '0.001']"
A0S9V9,10,9,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.001', '0.950']"
A0S9V9,10,9,A,equal,"['1.000', '0.000', '0.000']","['0.996', '0.000', '0.004']"
A0S9V9,11,9,A,B,"['1.000', '0.000', '0.000']","['0.191', '0.809', '0.001']"
A0S9V9,11,9,A,C,"['1.000', '0.000', '0.000']","['0.170', '0.009', '0.821']"
A0S9V9,11,9,A,equal,"['1.000', '0.000', '0.000']","['0.951', '0.048', '0.001']"
A0S9V9,12,9,A,B,"['1.000', '0.000', '0.000']","['0.216', '0.783', '0.001']"
A0S9V9,12,9,A,C,"['1.000', '0.000', '0.000']","['0.065', '0.001', '0.934']"
A0S9V9,12,9,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.309', '0.309']"
A1D9Z7,0,22,A,B,"['1.000', '0.000', '0.000']","['0.046', '0.954', '0.000']"
A1D9Z7,0,22,A,C,"['1.000', '0.000', '0.000']","['0.048', '0.000', '0.952']"
A1D9Z7,0,22,A,equal,"['1.000', '0.000', '0.000']","['0.381', '0.314', '0.305']"
A1D9Z7,1,22,A,B,"['1.000', '0.000', '0.000']","['0.037', '0.960', '0.003']"
A1D9Z7,1,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,1,22,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.293', '0.325']"
A1D9Z7,2,22,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1D9Z7,2,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,2,22,A,equal,"['1.000', '0.000', '0.000']","['0.842', '0.157', '0.002']"
A1D9Z7,3,22,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1D9Z7,3,22,A,C,"['1.000', '0.000', '0.000']","['0.072', '0.028', '0.900']"
A1D9Z7,3,22,A,equal,"['1.000', '0.000', '0.000']","['0.569', '0.419', '0.013']"
A1D9Z7,4,22,A,B,"['1.000', '0.000', '0.000']","['0.037', '0.961', '0.002']"
A1D9Z7,4,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,4,22,A,equal,"['1.000', '0.000', '0.000']","['0.362', '0.286', '0.352']"
A1D9Z7,5,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,5,22,A,C,"['1.000', '0.000', '0.000']","['0.062', '0.000', '0.938']"
A1D9Z7,5,22,A,equal,"['1.000', '0.000', '0.000']","['0.986', '0.014', '0.000']"
A1D9Z7,6,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,6,22,A,C,"['1.000', '0.000', '0.000']","['0.188', '0.082', '0.731']"
A1D9Z7,6,22,A,equal,"['1.000', '0.000', '0.000']","['0.576', '0.423', '0.002']"
A1D9Z7,7,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,7,22,A,C,"['1.000', '0.000', '0.000']","['0.371', '0.159', '0.470']"
A1D9Z7,7,22,A,equal,"['1.000', '0.000', '0.000']","['0.575', '0.424', '0.000']"
A1D9Z7,8,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,8,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,8,22,A,equal,"['1.000', '0.000', '0.000']","['0.529', '0.128', '0.343']"
A1D9Z7,9,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,9,22,A,C,"['1.000', '0.000', '0.000']","['0.033', '0.000', '0.967']"
A1D9Z7,9,22,A,equal,"['1.000', '0.000', '0.000']","['0.642', '0.340', '0.019']"
A1D9Z7,10,22,A,B,"['1.000', '0.000', '0.000']","['0.042', '0.952', '0.007']"
A1D9Z7,10,22,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1D9Z7,10,22,A,equal,"['1.000', '0.000', '0.000']","['0.296', '0.329', '0.375']"
A1D9Z7,11,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,11,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,11,22,A,equal,"['1.000', '0.000', '0.000']","['0.421', '0.318', '0.261']"
A1D9Z7,12,22,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,12,22,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,12,22,A,equal,"['1.000', '0.000', '0.000']","['0.501', '0.316', '0.183']"
A1D9Z7,0,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,0,11,A,C,"['1.000', '0.000', '0.000']","['0.048', '0.000', '0.952']"
A1D9Z7,0,11,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.307', '0.311']"
A1D9Z7,1,11,A,B,"['1.000', '0.000', '0.000']","['0.045', '0.952', '0.003']"
A1D9Z7,1,11,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.950']"
A1D9Z7,1,11,A,equal,"['1.000', '0.000', '0.000']","['0.375', '0.298', '0.327']"
A1D9Z7,2,11,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1D9Z7,2,11,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,2,11,A,equal,"['1.000', '0.000', '0.000']","['0.508', '0.373', '0.120']"
A1D9Z7,3,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,3,11,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.001', '0.950']"
A1D9Z7,3,11,A,equal,"['1.000', '0.000', '0.000']","['0.568', '0.419', '0.013']"
A1D9Z7,4,11,A,B,"['1.000', '0.000', '0.000']","['0.033', '0.964', '0.002']"
A1D9Z7,4,11,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,4,11,A,equal,"['1.000', '0.000', '0.000']","['0.332', '0.302', '0.366']"
A1D9Z7,5,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,5,11,A,C,"['1.000', '0.000', '0.000']","['0.105', '0.000', '0.895']"
A1D9Z7,5,11,A,equal,"['1.000', '0.000', '0.000']","['0.641', '0.359', '0.000']"
A1D9Z7,6,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,6,11,A,C,"['1.000', '0.000', '0.000']","['0.224', '0.099', '0.677']"
A1D9Z7,6,11,A,equal,"['1.000', '0.000', '0.000']","['0.756', '0.243', '0.001']"
A1D9Z7,7,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,7,11,A,C,"['1.000', '0.000', '0.000']","['0.267', '0.052', '0.681']"
A1D9Z7,7,11,A,equal,"['1.000', '0.000', '0.000']","['0.568', '0.432', '0.001']"
A1D9Z7,8,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,8,11,A,C,"['1.000', '0.000', '0.000']","['1.000', '0.000', '0.000']"
A1D9Z7,8,11,A,equal,"['1.000', '0.000', '0.000']","['0.759', '0.013', '0.228']"
A1D9Z7,9,11,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1D9Z7,9,11,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1D9Z7,9,11,A,equal,"['1.000', '0.000', '0.000']","['0.372', '0.330', '0.297']"
A1D9Z7,10,11,A,B,"['0.999', '0.001', '0.000']","['0.037', '0.953', '0.010']"
A1D9Z7,10,11,A,C,"['0.999', '0.001', '0.000']","['0.049', '0.000', '0.951']"
A1D9Z7,10,11,A,equal,"['0.999', '0.001', '0.000']","['0.302', '0.319', '0.378']"
A1D9Z7,11,11,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1D9Z7,11,11,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,11,11,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.325', '0.292']"
A1D9Z7,12,11,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1D9Z7,12,11,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1D9Z7,12,11,A,equal,"['1.000', '0.000', '0.000']","['0.400', '0.320', '0.279']"
A1E9Q1,0,0,A,B,"['1.000', '0.000', '0.000']","['0.016', '0.983', '0.001']"
A1E9Q1,0,0,A,C,"['1.000', '0.000', '0.000']","['0.043', '0.006', '0.951']"
A1E9Q1,0,0,A,equal,"['1.000', '0.000', '0.000']","['0.376', '0.335', '0.289']"
A1E9Q1,1,0,A,B,"['0.999', '0.000', '0.001']","['0.045', '0.955', '0.000']"
A1E9Q1,1,0,A,C,"['0.999', '0.000', '0.001']","['0.049', '0.000', '0.951']"
A1E9Q1,1,0,A,equal,"['0.999', '0.000', '0.001']","['0.332', '0.295', '0.373']"
A1E9Q1,2,0,A,B,"['1.000', '0.000', '0.000']","['0.035', '0.965', '0.000']"
A1E9Q1,2,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1E9Q1,2,0,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.323', '0.295']"
A1E9Q1,3,0,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1E9Q1,3,0,A,C,"['1.000', '0.000', '0.000']","['0.045', '0.005', '0.950']"
A1E9Q1,3,0,A,equal,"['1.000', '0.000', '0.000']","['0.381', '0.329', '0.290']"
A1E9Q1,4,0,A,B,"['1.000', '0.000', '0.000']","['0.044', '0.956', '0.000']"
A1E9Q1,4,0,A,C,"['1.000', '0.000', '0.000']","['0.041', '0.008', '0.950']"
A1E9Q1,4,0,A,equal,"['1.000', '0.000', '0.000']","['0.340', '0.365', '0.294']"
A1E9Q1,5,0,A,B,"['1.000', '0.000', '0.000']","['0.041', '0.959', '0.000']"
A1E9Q1,5,0,A,C,"['1.000', '0.000', '0.000']","['0.040', '0.010', '0.950']"
A1E9Q1,5,0,A,equal,"['1.000', '0.000', '0.000']","['0.365', '0.351', '0.284']"
A1E9Q1,6,0,A,B,"['1.000', '0.000', '0.000']","['0.042', '0.958', '0.000']"
A1E9Q1,6,0,A,C,"['1.000', '0.000', '0.000']","['0.040', '0.010', '0.950']"
A1E9Q1,6,0,A,equal,"['1.000', '0.000', '0.000']","['0.381', '0.336', '0.283']"
A1E9Q1,7,0,A,B,"['0.999', '0.001', '0.000']","['0.036', '0.964', '0.000']"
A1E9Q1,7,0,A,C,"['0.999', '0.001', '0.000']","['0.042', '0.007', '0.951']"
A1E9Q1,7,0,A,equal,"['0.999', '0.001', '0.000']","['0.368', '0.344', '0.288']"
A1E9Q1,8,0,A,B,"['1.000', '0.000', '0.000']","['0.011', '0.989', '0.000']"
A1E9Q1,8,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,8,0,A,equal,"['1.000', '0.000', '0.000']","['0.362', '0.297', '0.341']"
A1E9Q1,9,0,A,B,"['1.000', '0.000', '0.000']","['0.046', '0.954', '0.000']"
A1E9Q1,9,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,9,0,A,equal,"['1.000', '0.000', '0.000']","['0.935', '0.059', '0.007']"
A1E9Q1,10,0,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1E9Q1,10,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1E9Q1,10,0,A,equal,"['1.000', '0.000', '0.000']","['0.356', '0.345', '0.299']"
A1E9Q1,11,0,A,B,"['1.000', '0.000', '0.000']","['0.016', '0.984', '0.000']"
A1E9Q1,11,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1E9Q1,11,0,A,equal,"['1.000', '0.000', '0.000']","['0.296', '0.337', '0.366']"
A1E9Q1,12,0,A,B,"['1.000', '0.000', '0.000']","['0.047', '0.953', '0.000']"
A1E9Q1,12,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,12,0,A,equal,"['1.000', '0.000', '0.000']","['0.379', '0.325', '0.295']"
A1E9Q1,0,9,A,B,"['1.000', '0.000', '0.000']","['0.023', '0.977', '0.000']"
A1E9Q1,0,9,A,C,"['1.000', '0.000', '0.000']","['0.040', '0.010', '0.950']"
A1E9Q1,0,9,A,equal,"['1.000', '0.000', '0.000']","['0.368', '0.346', '0.286']"
A1E9Q1,1,9,A,B,"['1.000', '0.000', '0.000']","['0.018', '0.982', '0.000']"
A1E9Q1,1,9,A,C,"['1.000', '0.000', '0.000']","['0.047', '0.001', '0.952']"
A1E9Q1,1,9,A,equal,"['1.000', '0.000', '0.000']","['0.375', '0.316', '0.310']"
A1E9Q1,2,9,A,B,"['1.000', '0.000', '0.000']","['0.040', '0.960', '0.000']"
A1E9Q1,2,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,2,9,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.334', '0.283']"
A1E9Q1,3,9,A,B,"['1.000', '0.000', '0.000']","['0.047', '0.953', '0.000']"
A1E9Q1,3,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,3,9,A,equal,"['1.000', '0.000', '0.000']","['0.381', '0.325', '0.294']"
A1E9Q1,4,9,A,B,"['1.000', '0.000', '0.000']","['0.013', '0.987', '0.000']"
A1E9Q1,4,9,A,C,"['1.000', '0.000', '0.000']","['0.046', '0.003', '0.950']"
A1E9Q1,4,9,A,equal,"['1.000', '0.000', '0.000']","['0.383', '0.329', '0.288']"
A1E9Q1,5,9,A,B,"['1.000', '0.000', '0.000']","['0.034', '0.966', '0.000']"
A1E9Q1,5,9,A,C,"['1.000', '0.000', '0.000']","['0.035', '0.015', '0.950']"
A1E9Q1,5,9,A,equal,"['1.000', '0.000', '0.000']","['0.376', '0.339', '0.285']"
A1E9Q1,6,9,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1E9Q1,6,9,A,C,"['1.000', '0.000', '0.000']","['0.038', '0.012', '0.950']"
A1E9Q1,6,9,A,equal,"['1.000', '0.000', '0.000']","['0.379', '0.338', '0.284']"
A1E9Q1,7,9,A,B,"['0.998', '0.002', '0.000']","['0.030', '0.970', '0.000']"
A1E9Q1,7,9,A,C,"['0.998', '0.002', '0.000']","['0.043', '0.007', '0.950']"
A1E9Q1,7,9,A,equal,"['0.998', '0.002', '0.000']","['0.370', '0.346', '0.285']"
A1E9Q1,8,9,A,B,"['1.000', '0.000', '0.000']","['0.024', '0.976', '0.000']"
A1E9Q1,8,9,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1E9Q1,8,9,A,equal,"['1.000', '0.000', '0.000']","['0.363', '0.287', '0.350']"
A1E9Q1,9,9,A,B,"['1.000', '0.000', '0.000']","['0.012', '0.988', '0.000']"
A1E9Q1,9,9,A,C,"['1.000', '0.000', '0.000']","['0.048', '0.000', '0.952']"
A1E9Q1,9,9,A,equal,"['1.000', '0.000', '0.000']","['0.659', '0.320', '0.022']"
A1E9Q1,10,9,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A1E9Q1,10,9,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A1E9Q1,10,9,A,equal,"['1.000', '0.000', '0.000']","['0.369', '0.347', '0.284']"
A1E9Q1,11,9,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A1E9Q1,11,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,11,9,A,equal,"['1.000', '0.000', '0.000']","['0.380', '0.334', '0.286']"
A1E9Q1,12,9,A,B,"['1.000', '0.000', '0.000']","['0.035', '0.965', '0.000']"
A1E9Q1,12,9,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A1E9Q1,12,9,A,equal,"['1.000', '0.000', '0.000']","['0.330', '0.338', '0.332']"
A2C0I1,0,0,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A2C0I1,0,0,A,C,"['1.000', '0.000', '0.000']","['0.612', '0.375', '0.013']"
A2C0I1,0,0,A,equal,"['1.000', '0.000', '0.000']","['0.889', '0.111', '0.000']"
A2C0I1,1,0,A,B,"['1.000', '0.000', '0.000']","['0.051', '0.949', '0.000']"
A2C0I1,1,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A2C0I1,1,0,A,equal,"['1.000', '0.000', '0.000']","['0.380', '0.336', '0.284']"
A2C0I1,2,0,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,2,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A2C0I1,2,0,A,equal,"['1.000', '0.000', '0.000']","['0.363', '0.353', '0.284']"
A2C0I1,3,0,A,B,"['1.000', '0.000', '0.000']","['0.048', '0.952', '0.000']"
A2C0I1,3,0,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.000', '0.951']"
A2C0I1,3,0,A,equal,"['1.000', '0.000', '0.000']","['0.371', '0.344', '0.285']"
A2C0I1,4,0,A,B,"['1.000', '0.000', '0.000']","['0.015', '0.983', '0.003']"
A2C0I1,4,0,A,C,"['1.000', '0.000', '0.000']","['0.038', '0.012', '0.950']"
A2C0I1,4,0,A,equal,"['1.000', '0.000', '0.000']","['0.358', '0.358', '0.284']"
A2C0I1,5,0,A,B,"['1.000', '0.000', '0.000']","['0.028', '0.952', '0.020']"
A2C0I1,5,0,A,C,"['1.000', '0.000', '0.000']","['0.048', '0.002', '0.951']"
A2C0I1,5,0,A,equal,"['1.000', '0.000', '0.000']","['0.369', '0.346', '0.285']"
A2C0I1,6,0,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,6,0,A,C,"['1.000', '0.000', '0.000']","['0.047', '0.001', '0.952']"
A2C0I1,6,0,A,equal,"['1.000', '0.000', '0.000']","['0.369', '0.345', '0.286']"
A2C0I1,7,0,A,B,"['1.000', '0.000', '0.000']","['0.006', '0.993', '0.000']"
A2C0I1,7,0,A,C,"['1.000', '0.000', '0.000']","['0.041', '0.000', '0.959']"
A2C0I1,7,0,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.309', '0.309']"
A2C0I1,8,0,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,8,0,A,C,"['1.000', '0.000', '0.000']","['0.270', '0.000', '0.729']"
A2C0I1,8,0,A,equal,"['1.000', '0.000', '0.000']","['0.695', '0.299', '0.006']"
A2C0I1,9,0,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,9,0,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A2C0I1,9,0,A,equal,"['1.000', '0.000', '0.000']","['0.380', '0.296', '0.324']"
A2C0I1,10,0,A,B,"['1.000', '0.000', '0.000']","['0.026', '0.974', '0.000']"
A2C0I1,10,0,A,C,"['1.000', '0.000', '0.000']","['0.097', '0.022', '0.881']"
A2C0I1,10,0,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.317', '0.300']"
A2C0I1,11,0,A,B,"['1.000', '0.000', '0.000']","['0.048', '0.952', '0.000']"
A2C0I1,11,0,A,C,"['1.000', '0.000', '0.000']","['0.426', '0.010', '0.564']"
A2C0I1,11,0,A,equal,"['1.000', '0.000', '0.000']","['0.382', '0.300', '0.318']"
A2C0I1,0,7,A,B,"['1.000', '0.000', '0.000']","['0.049', '0.951', '0.000']"
A2C0I1,0,7,A,C,"['1.000', '0.000', '0.000']","['0.674', '0.324', '0.002']"
A2C0I1,0,7,A,equal,"['1.000', '0.000', '0.000']","['0.408', '0.591', '0.001']"
A2C0I1,1,7,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,1,7,A,C,"['1.000', '0.000', '0.000']","['0.050', '0.000', '0.950']"
A2C0I1,1,7,A,equal,"['1.000', '0.000', '0.000']","['0.380', '0.336', '0.284']"
A2C0I1,2,7,A,B,"['1.000', '0.000', '0.000']","['0.050', '0.950', '0.000']"
A2C0I1,2,7,A,C,"['1.000', '0.000', '0.000']","['0.049', '0.001', '0.950']"
A2C0I1,2,7,A,equal,"['1.000', '0.000', '0.000']","['0.373', '0.344', '0.284']"
